"","year","SPCSPI","IR","CPI","Real_1yr","real_pc_consumption","real_SP_return"
"36",1924,8.83,4.34,17.3,1.0434,5595.71352320811,0.260475651189128
"37",1925,10.58,3.87,17.3,1.00388324022346,5351.59563818976,0.210384302626438
"38",1926,12.65,4.28,17.9,1.06663542857143,5712.11057755878,0.139293054771316
"39",1927,13.4,4.26,17.5,1.05465317919075,5760.19675566048,0.381459753256837
"40",1928,17.53,4.64,17.3,1.05863859649123,5818.53558085694,0.483782187928463
"41",1929,24.86,6.01,17.1,1.0601,6071.47098375347,-0.0876910699919548
"42",1930,21.71,4.15,17.1,1.12010377358491,5686.17862838706,-0.15983417779825
"43",1931,15.98,2.43,15.9,1.13890699300699,5469.07249894468,-0.365430564429313
"44",1932,8.3,3.36,14.3,1.14577364341085,4951.90058331912,0.0137013168954889
"45",1933,7.09,1.46,12.9,0.991540909090909,4815.92623934862,0.513463264521093
"46",1934,10.54,1.01,13.2,0.980391176470588,5123.65695907205,-0.105843286081036
"47",1935,9.26,0.75,13.6,0.992898550724638,5400.9604075974,0.51444580085767
"48",1936,13.76,0.75,13.8,0.986063829787234,5909.39074277582,0.302356506679862
"49",1937,17.59,0.88,14.1,1.00169577464789,6090.56329838239,-0.316388953390611
"50",1938,11.31,0.88,14.2,1.02321142857143,5945.86308859311,0.166742452949349
"51",1939,12.5,0.56,14,1.0128345323741,6225.8148042089,0.0410359712230215
"52",1940,12.3,0.56,13.9,0.991336170212766,6495.56048447913,-0.100743815948798
"53",1941,10.55,0.53,14.1,0.902849044585987,6892.7520014453,-0.179376339541763
"54",1942,8.93,0.63,15.7,0.93484674556213,6662.80300707845,0.11104779448306
"55",1943,10.09,0.69,16.9,0.977966091954023,6759.2795227207,0.199400795142567
"56",1944,11.85,0.72,17.4,0.984566292134831,6872.80097762336,0.165609443891338
"57",1945,13.49,0.75,17.8,0.985357142857143,7217.9069700584,0.354295815378098
"58",1946,18.02,0.76,18.2,0.85294511627907,8015.24029252142,-0.252138450816922
"59",1947,15.21,1.01,21.5,0.916335443037975,8007.9423446256,-0.0653911345245329
"60",1948,14.83,1.35,23.7,1.00083125,8045.45701007427,0.0847184760620364
"61",1949,15.36,1.58,24,1.03741276595745,8125.39175247086,0.19813829787234
"62",1950,16.88,1.32,23.5,0.937409448818898,8502.69292565981,0.243096242116655
"63",1951,21.21,2.12,25.4,0.978810566037736,8492.65823496438,0.156876873671195
"64",1952,24.19,2.39,26.5,1.0200507518797,8612.56761281851,0.136266151115697
"65",1953,26.18,2.58,26.6,1.01435985130112,8874.23939929859,0.0164204918195735
"66",1954,25.46,1.8,26.9,1.02562546816479,8897.17368568524,0.469685869881815
"67",1955,35.6,1.81,26.7,1.01430111940298,9378.79158204927,0.281436567164179
"68",1956,44.15,3.21,26.8,1.00218405797101,9480.33936600009,0.0374349631526252
"69",1957,45.43,3.86,27.6,1.00228531468531,9541.59146077077,-0.0884954798668204
"70",1958,41.12,2.54,28.6,1.01125655172414,9458.97514596458,0.375940896283376
"71",1959,55.62,3.74,29,1.02677815699659,9819.11128336877,0.0652121354927941
"72",1960,58.03,4.28,29.3,1.0253033557047,9886.80230597561,0.0448952000064766
"73",1961,59.72,2.91,29.8,1.02223933333333,9927.01255734689,0.182452556374191
"74",1962,69.07,3.39,30,1.02029605263158,10259.5997892789,-0.0400185166840655
"75",1963,65.06,3.5,30.4,1.01825242718447,10529.7562584778,0.190532612664237
"76",1964,76.45,4.09,30.9,1.03089134615385,11007.9195038865,0.148042964230015
"77",1965,86.12,4.46,31.2,1.02489056603774,11557.9398362542,0.0941468245274252
"78",1966,93.32,5.44,31.8,1.01914650455927,12074.8512206569,-0.0955798722440156
"79",1967,84.45,5.55,32.9,1.01835630498534,12299.8972352347,0.119156036385166
